model_id,name,params_m,modalities,org,link
isaac0.1,Isaac 0.1,2567,text+image,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-1
isaac0.2-1b,Isaac 0.2-1B,1268,text+image,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2
isaac0.2-2b,Isaac 0.2-2B,2567,text+image,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2
lfm2.5-vl-1.6b,LiquidFM2.5-VL-1.6B,1597,text+image,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai
lfm2-vl-1.6b,LiquidFM2-VL-1.6B,1585,text+image,Liquid AI,http://arxiv.org/abs/2511.23404
lfm2-vl-450m,LiquidFM2-VL-450M,451,text+image,Liquid AI,http://arxiv.org/abs/2511.23404
lfm2-vl-3b,LiquidFM2-VL-3B,2999,text+image,Liquid AI,http://arxiv.org/abs/2511.23404
qwen3-vl-2b,Qwen3-VL-2B,2128,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-2b-thinking,Qwen3-VL-2B (Thinking),2128,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-4b,Qwen3-VL-4B,4438,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-4b-thinking,Qwen3-VL-4B (Thinking),4438,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-8b,Qwen3-VL-8B,8767,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-8b-thinking,Qwen3-VL-8B (Thinking),8767,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3.5-397b-a17b,Qwen3.5-397B-A17B,,text+image,Qwen,https://qwen.ai/blog?id=qwen3.5
qwen3.5-122b-a10b,Qwen3.5-122B-A10B,,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B
qwen3.5-35b-a3b,Qwen3.5-35B-A3B,,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B
qwen3.5-27b,Qwen3.5-27B,,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B
molmo2-4b,Molmo2-4B,4851,text+image,Allen Institute for AI,http://arxiv.org/abs/2601.10611
molmo2-8b,Molmo2-8B,8662,text+image,Allen Institute for AI,http://arxiv.org/abs/2601.10611
moondream3-preview,Moondream3 (Preview),18537,text+image,Moondream,https://huggingface.co/moondream/moondream3-preview
gemma3-4b,Gemma3-4B,4300,text+image,Google,https://huggingface.co/google/gemma-3-4b-it
gemma3-12b,Gemma3-12B,12187,text+image,Google,https://huggingface.co/google/gemma-3-12b-it
gemma3-27b,Gemma3-27B,27432,text+image,Google,https://huggingface.co/google/gemma-3-27b-it
step3-vl-10b,Step3-VL-10B,10172,text+image,StepFun,https://arxiv.org/pdf/2601.09668
